PRODUCT_NAME,CATEGORY,PRICE,PRODUCT_ID
HEM Precious Chandan Black Incense Sticks (120 Sticks)  Agarbatti for Pooja Air Purifier & Meditation  Puja Room Items ,Home Decor,249,PRD11047
Zintex Metal Wall Clock for Home Decor and Hall Home Big Size Living Room Hall Bedroom Stylish Clock (Gold) (46x46),Home Decor,,PRD11048
"SATYAM KRAFT Acrylic Dancing Flame Led Tea Light Candle For Home Decoration, Gifting, House, Light For Balcony, Room, Birt",Home Decor,1200,PRD11049
"Pink Pari 2 m Aluminium Foil Stickers, Oil Proof , Kitchen Backsplash Wallpaper Self-Adhesive Wall Sticker Anti-Mold and H",Home Decor,599,PRD11050
Rey Naturals Lavender Essential Oil for HairSkin100% Pure Lavender Oil with Natural Lavandula Angustifolia Extract Calm,Home Decor,300,PRD11051
"Ryme Artificial Wild Grass Plant With Pot For Home And Office Decoration (Set Of 4, 4)( Set Of 4), Green",Home Decor,599,PRD11052
"SADHUSADHYA 21 Shape of Mirror Craft (TOTAL-2100 Pices,100 Piece of Each Shape)",Home Decor,899,PRD11053
TIMESETL Wood Coper Wind Chime for Home Bedroom Balcony Garden Etc. for (Decorate Item),Home Decor,1599,PRD11054
"Blooming Floret Artificial Monstera Plant with Black Pot for Home, Office Decor | 18 Medium Size Leaves Plant with Pot",Home Decor,4000,PRD11055
"Asian Paints Wall-Ons Scootaway Wall Sticker (PVC Vinyl, 0.01 cm x 76.2 cm x 30.48 cm) (AS05M)",Home Decor,365,PRD11056
SAF 7 Horses River Large Framed UV Coated Digital Reprint 14 Inch X 20 Inch Painting (SANFH11) SANFH11(multicolor1),Home Decor,1999,PRD11057
"Ajanta Quartz Plastic Abstract Rectangle Digital Alarm Wall Clock (Black and Brown, 29 cm x 19 cm x 2.5 cm, ODC 130)",Home Decor,1025,PRD11058
"Generic PnF Durga Maa Religious Wood Photo Frames with Acrylic Sheet (Glass) for Worship/Pooja(photoframe,Multicolour,8x6i",Home Decor,499,PRD11059
Pauwer 12 Pack (43.2 FT) Artificial Wisteria Vine Ratta Fake Wisteria Hanging Garland Silk Long Hanging Bush Flowers Strin,Home Decor,999,PRD11060
"HOLD UP Led Vanity Lights for Mirror, Hollywood Style LED Vanity Mirror Lights Kit 10 Dimmable Light Bulbs 3 Color Modes, ",Home Decor,2499,PRD11061
