visitor_id,Paths_journey
003FiBChh7AiiiB7EiEBkEihF,Start > Youtube > Conversion
003FnD7i3fAnFFAho37o0knno,Start > Youtube > NULL
003f0F9k3737BiFoBn33DnEi0,Start > Instagram > NULL
003f0nhfn7kFB0AEoBh3CoCkk,Start > Youtube > NULL
003fhDDko9Bkfn0iEf3EkEDEB,Start > Facebook > NULL
003h0of0Bknh93nBk3EfAk0Bf,Start > Youtube > NULL
003h797E7CD03nAfD3i0hF7nn,Start > Facebook > NULL
003h9o0F90Fo7iE0CCEAfBoC3,Start > Youtube > NULL
003hhiiCinfACA9i0AfEADoko,Start > Youtube > NULL
003hiFAhBfFh0iBikFCf9iB7i,Start > Facebook > Conversion
003i090k9h3EhkA7A7iDoCh0E,Start > Youtube > Facebook > Conversion
003iB9Bk33EA3nfAA9i73niki,Start > Facebook > Instagram > Conversion
003iBfh0nnn33fi0kAEhkFEBA,Start > Facebook > Conversion
003iBh0CChn9EEoEffh3Fhh99,Start > Facebook > NULL
003iE33noD0EC99nfBBF3CFC9,Start > Facebook > NULL
003ihhD0B7E90Ak3EnAfhfFA0,Start > Youtube > NULL
003ikFkiiEf0CEhkf90FFBB0i,Start > Youtube > Facebook > NULL
003in997kC3h37EACDkoinCff,Start > Instagram > NULL
003kF9E3A9AB0FDonAEDhDnkC,Start > Instagram > Youtube > NULL
003kf3Dh0h0Ch79EBBEh3k97D,Start > Youtube > Conversion
003kkD9f9kh0n733hh3h07iF9,Start > Youtube > NULL
003nA9kD0hD7F3fh9C33DnACo,Start > Youtube > Instagram > Facebook > NULL
003nEE770kB9o9F9CBCBo9FAB,Start > Facebook > Conversion
003o7o773iFknEkf9CDi7nC9B,Start > Instagram > Facebook > Conversion
003o9fDnifiFnDoB0ono7fCoC,Start > Instagram > NULL
003oBEDkiDfikhDo9EohhC70F,Start > Youtube > NULL
003oDEAf7fAiDkBDiDhC3i700,Start > Youtube > NULL
007099ihnFoAFooFACfkC9DiA,Start > Youtube > NULL
00733nn0EBAoo3nC97oo9iDAE,Start > Facebook > NULL
00770o9hCAnDikohoCiFDnCoC,Start > Instagram > Facebook > Conversion
00779nCC07CoF9DinCEFknAn3,Start > Facebook > Youtube > Instagram > Conversion
0077ACiEFhFCoB90o7oiA7kDE,Start > Facebook > Instagram > NULL
