visitor_id,Paths_journey
00ChAf9kkhD9hDDCAoDDnFhC9,Start > Facebook > NULL
00ChEk7Eko07EBkF0EkifA7ED,Start > Instagram > Conversion
00ChnB3DD0fBoCCAD90C9DF0B,Start > Youtube > Conversion
00ChoF3C0hhhoC3ooif0i0ioE,Start > Youtube > Facebook > NULL
00CiBB03k77nhAEFikkoFBDhB,Start > Facebook > Conversion
00CiDBBAEFBAoB3okChDDn7nE,Start > Youtube > Conversion
00Cin9C9ACAEDA77BfFhEFFFn,Start > Facebook > NULL
00CkCf3noAFi9fo0D7kFiBDFn,Start > Instagram > Facebook > Conversion
00CkD7AoF3n3niEFEECkhDCC9,Start > Youtube > Conversion
00CkDf79F3kBF703BACAi9Dni,Start > Youtube > NULL
00CkECiDokCEfFhBh7iChk7F3,Start > Facebook > Conversion
00CkFD3f0oAC3A3hEA7k339k9,Start > Youtube > Instagram > Conversion
00Ckfo7C0ok3B3A7nE0F0i0o3,Start > Instagram > NULL
00Cn0FD0ff00oEDkABA99n9oo,Start > Facebook > NULL
00Cn9nC9E3D0FhAD0oDCCk90k,Start > Facebook > Instagram > Conversion
00CnBfh0EFnfFAn3nFhkDFAB7,Start > Instagram > Facebook > Conversion
00CnF0k33hfCnh90FFCCCfkno,Start > Facebook > NULL
00CnhBEkBF0EBi7EfBB9n09n0,Start > Facebook > NULL
00Cno7FACE7EkiADBnDC30EBB,Start > Youtube > NULL
00Co73E37ki3BDDE9ABoiBhhD,Start > Facebook > Conversion
00CoEDB9ihFD7iFF3DEEfonFE,Start > Youtube > NULL
00CohkFo3AofCADA9AFDEhEA3,Start > Youtube > Facebook > Conversion
00Cohn00okoknC9ABDBh3fDDA,Start > Youtube > Instagram > Conversion
00CokEoii3DDhB9hBiC9iAioA,Start > Youtube > NULL
00Coo3hBf93C9DC3DD0fhCfk7,Start > Facebook > NULL
00D09D03oFECD790i9hnB039F,Start > Facebook > Conversion
00D0CfBfn7o0AEE9k773CnFhA,Start > Facebook > Youtube > Conversion
00D337BDFff0DEAkDkE0EDoiF,Start > Facebook > Conversion
00D3hhhk30Dhi3iknfFf0fnnf,Start > Youtube > NULL
00D73BhofF0C9EnFDi00B7ko3,Start > Facebook > NULL
00D7C0CF9AnfAF7k77CBiih30,Start > Facebook > Instagram > NULL
00D7Fo0Ckk9nFDo0Fnh9D9oiC,Start > Youtube > NULL
00D99EiCiB3i9n0EC3oFAABC3,Start > Youtube > Conversion
00D9BkkDofE0B7AAnkii033kf,Start > Youtube > Conversion
00DA3ffC9DADE7A379FEknCA9,Start > Facebook > Instagram > Conversion
00DA9A90nFE0kE7iCk3fDiof0,Start > Youtube > NULL
00DAAiDfB7nfoi7AB70FEiiFk,Start > Facebook > Conversion
00DAFoh09373CAFD9fiB9k7Fi,Start > Youtube > NULL
00DB0B9h77o9ofkBiFEAABBnA,Start > Facebook > NULL
00DB3kA79n9EFk7koh7F009kE,Start > Youtube > Instagram > Conversion
00DBACC3C0i0n0A90A7hF3o37,Start > Instagram > Youtube > Facebook > Conversion
00DBEF7BknoAhfD9AhFff39k3,Start > Youtube > NULL
